repo,urn,file,structure_signature
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg029.perseus-grc2,tlg0284/tlg029/tlg0284.tlg029.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg030.perseus-grc2,tlg0284/tlg030/tlg0284.tlg030.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg031.perseus-grc2,tlg0284/tlg031/tlg0284.tlg031.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg032.perseus-grc2,tlg0284/tlg032/tlg0284.tlg032.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg033.perseus-grc2,tlg0284/tlg033/tlg0284.tlg033.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg034.perseus-grc2,tlg0284/tlg034/tlg0284.tlg034.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg035.perseus-grc2,tlg0284/tlg035/tlg0284.tlg035.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg036.perseus-grc2,tlg0284/tlg036/tlg0284.tlg036.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg037.perseus-grc2,tlg0284/tlg037/tlg0284.tlg037.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg038.perseus-grc2,tlg0284/tlg038/tlg0284.tlg038.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg039.perseus-grc2,tlg0284/tlg039/tlg0284.tlg039.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg040.perseus-grc2,tlg0284/tlg040/tlg0284.tlg040.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg041.perseus-grc2,tlg0284/tlg041/tlg0284.tlg041.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg042.perseus-grc2,tlg0284/tlg042/tlg0284.tlg042.perseus-grc2.xml,jebb_page+l
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg043.perseus-grc2,tlg0284/tlg043/tlg0284.tlg043.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg044.perseus-grc2,tlg0284/tlg044/tlg0284.tlg044.perseus-grc2.xml,jebb_page+l
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg045.perseus-grc2,tlg0284/tlg045/tlg0284.tlg045.perseus-grc2.xml,jebb_page+l
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg046.perseus-grc2,tlg0284/tlg046/tlg0284.tlg046.perseus-grc2.xml,jebb_page+l
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg047.perseus-grc2,tlg0284/tlg047/tlg0284.tlg047.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg048.perseus-grc2,tlg0284/tlg048/tlg0284.tlg048.perseus-grc2.xml,jebb_page+l
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg049.perseus-grc2,tlg0284/tlg049/tlg0284.tlg049.perseus-grc2.xml,jebb_page+l
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg050.perseus-grc2,tlg0284/tlg050/tlg0284.tlg050.perseus-grc2.xml,jebb_page+l
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg051.perseus-grc2,tlg0284/tlg051/tlg0284.tlg051.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg052.perseus-grc2,tlg0284/tlg052/tlg0284.tlg052.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg053.perseus-grc2,tlg0284/tlg053/tlg0284.tlg053.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0284.tlg054.perseus-grc2,tlg0284/tlg054/tlg0284.tlg054.perseus-grc2.xml,jebb_page
canonical-greekLit,urn:cts:greekLit:tlg0532.tlg001.perseus-grc2,tlg0532/tlg001/tlg0532.tlg001.perseus-grc2.xml,book+chapter+section
canonical-greekLit,urn:cts:greekLit:tlg0545.tlg002.perseus-grc2,tlg0545/tlg002/tlg0545.tlg002.perseus-grc2.xml,book+chapter+l
canonical-greekLit,urn:cts:greekLit:tlg0545.tlg003.perseus-grc2,tlg0545/tlg003/tlg0545.tlg003.perseus-grc2.xml,letter
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg002.perseus-eng2,tlg0551/tlg002/tlg0551.tlg002.perseus-eng2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg002.perseus-grc2,tlg0551/tlg002/tlg0551.tlg002.perseus-grc2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg003.perseus-eng2,tlg0551/tlg003/tlg0551.tlg003.perseus-eng2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg003.perseus-grc2,tlg0551/tlg003/tlg0551.tlg003.perseus-grc2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg004.perseus-eng2,tlg0551/tlg004/tlg0551.tlg004.perseus-eng2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg004.perseus-grc2,tlg0551/tlg004/tlg0551.tlg004.perseus-grc2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg005.perseus-eng2,tlg0551/tlg005/tlg0551.tlg005.perseus-eng2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg005.perseus-grc2,tlg0551/tlg005/tlg0551.tlg005.perseus-grc2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg006.perseus-eng2,tlg0551/tlg006/tlg0551.tlg006.perseus-eng2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg006.perseus-grc2,tlg0551/tlg006/tlg0551.tlg006.perseus-grc2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg010.perseus-eng2,tlg0551/tlg010/tlg0551.tlg010.perseus-eng2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg010.perseus-grc2,tlg0551/tlg010/tlg0551.tlg010.perseus-grc2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg011.perseus-eng2,tlg0551/tlg011/tlg0551.tlg011.perseus-eng2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0551.tlg011.perseus-grc2,tlg0551/tlg011/tlg0551.tlg011.perseus-grc2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0557.tlg003.perseus-grc2,tlg0557/tlg003/tlg0557.tlg003.perseus-grc2.xml,fragment
canonical-greekLit,urn:cts:greekLit:tlg0557.tlg003a.perseus-eng3,tlg0557/tlg003a/tlg0557.tlg003a.perseus-eng3.xml,book+sentence+l
canonical-greekLit,urn:cts:greekLit:tlg0557.tlg004.perseus-grc2,tlg0557/tlg004/tlg0557.tlg004.perseus-grc2.xml,sentence
canonical-greekLit,urn:cts:greekLit:tlg0557.tlg005.perseus-grc2,tlg0557/tlg005/tlg0557.tlg005.perseus-grc2.xml,sentence
canonical-greekLit,urn:cts:greekLit:tlg0627.tlg013.perseus-eng4,tlg0627/tlg013/tlg0627.tlg013.perseus-eng4.xml,oath
canonical-greekLit,urn:cts:greekLit:tlg0627.tlg013.perseus-eng5,tlg0627/tlg013/tlg0627.tlg013.perseus-eng5.xml,oath
canonical-greekLit,urn:cts:greekLit:tlg0627.tlg013.perseus-grc2,tlg0627/tlg013/tlg0627.tlg013.perseus-grc2.xml,oath
canonical-greekLit,urn:cts:greekLit:tlg0638.tlg004.perseus-grc2,tlg0638/tlg004/tlg0638.tlg004.perseus-grc2.xml,page
canonical-greekLit,urn:cts:greekLit:tlg0638.tlg005.perseus-grc2,tlg0638/tlg005/tlg0638.tlg005.perseus-grc2.xml,work
canonical-greekLit,urn:cts:greekLit:tlg1389.tlg001.perseus-grc2,tlg1389/tlg001/tlg1389.tlg001.perseus-grc2.xml,entry+letter
canonical-greekLit,urn:cts:greekLit:tlg1799.tlg001.perseus-eng2,tlg1799/tlg001/tlg1799.tlg001.perseus-eng2.xml,book+number+type
canonical-greekLit,urn:cts:greekLit:tlg1799.tlg001.perseus-grc2,tlg1799/tlg001/tlg1799.tlg001.perseus-grc2.xml,book+number+type
canonical-greekLit,urn:cts:greekLit:tlg2003.tlg008.perseus-grc2,tlg2003/tlg008/tlg2003.tlg008.perseus-grc2.xml,section
canonical-greekLit,urn:cts:greekLit:tlg2003.tlg011.perseus-grc2,tlg2003/tlg011/tlg2003.tlg011.perseus-grc2.xml,section
canonical-greekLit,urn:cts:greekLit:tlg2003.tlg013.perseus-grc2,tlg2003/tlg013/tlg2003.tlg013.perseus-grc2.xml,letter+paragraph
canonical-greekLit,urn:cts:greekLit:tlg2040.tlg004.perseus-grc2,tlg2040/tlg004/tlg2040.tlg004.perseus-grc2.xml,letter
canonical-greekLit,urn:cts:greekLit:tlg4036.tlg023.cypria-grc1,tlg4036/tlg023/tlg4036.tlg023.cypria-grc1.xml,work
First1KGreek,heb0001.heb010.1st1K-eng1,heb0001/heb010/heb0001.heb010.1st1K-eng1.xml,chapter+verse
First1KGreek,ogl0001.ogl001.1st1K-grc1,ogl0001/ogl001/ogl0001.ogl001.1st1K-grc1.xml,fragment
