urn,path,author,title,suggested_genre,confidence,family,proposed_subclass,structure_signature,match,needs_review,recommended_genre,notes
urn:cts:latinLit:phi1348.abo011.perseus-lat2,phi1348/abo011/phi1348.abo011.perseus-lat2.xml,Suetonius,Divus Julius,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo011.rolfe-eng1,phi1348/abo011/phi1348.abo011.rolfe-eng1.xml,Suetonius,Divus Julius,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo011.rolfe-lat1,phi1348/abo011/phi1348.abo011.rolfe-lat1.xml,Suetonius,Divus Julius,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo012.perseus-eng2,phi1348/abo012/phi1348.abo012.perseus-eng2.xml,Suetonius,Divus Augustus,prose-chapter-section,high,prose,prose-chapter,chapter+l,ready,false,prose-chapter,
urn:cts:latinLit:phi1348.abo012.perseus-lat2,phi1348/abo012/phi1348.abo012.perseus-lat2.xml,Suetonius,Divus Augustus,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo013.perseus-eng2,phi1348/abo013/phi1348.abo013.perseus-eng2.xml,Suetonius,Tiberius,prose-chapter-section,high,prose,prose-chapter,chapter+l,ready,false,prose-chapter,
urn:cts:latinLit:phi1348.abo013.perseus-lat2,phi1348/abo013/phi1348.abo013.perseus-lat2.xml,Suetonius,Tiberius,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo014.perseus-eng2,phi1348/abo014/phi1348.abo014.perseus-eng2.xml,Suetonius,Caligula,prose-chapter-section,high,prose,prose-chapter,chapter+l,ready,false,prose-chapter,
urn:cts:latinLit:phi1348.abo014.perseus-lat2,phi1348/abo014/phi1348.abo014.perseus-lat2.xml,Suetonius,Caligula,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo015.perseus-eng2,phi1348/abo015/phi1348.abo015.perseus-eng2.xml,Suetonius,Divus Claudius,prose-chapter-section,high,prose,prose-chapter,chapter+l,ready,false,prose-chapter,
urn:cts:latinLit:phi1348.abo015.perseus-lat2,phi1348/abo015/phi1348.abo015.perseus-lat2.xml,Suetonius,Divus Claudius,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo016.perseus-eng2,phi1348/abo016/phi1348.abo016.perseus-eng2.xml,Suetonius,Nero,prose-chapter-section,high,prose,prose-chapter,chapter+l,ready,false,prose-chapter,
urn:cts:latinLit:phi1348.abo016.perseus-lat2,phi1348/abo016/phi1348.abo016.perseus-lat2.xml,Suetonius,Nero,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo017.perseus-eng2,phi1348/abo017/phi1348.abo017.perseus-eng2.xml,Suetonius,Galba,prose-chapter-section,high,prose,prose-chapter,chapter+l,ready,false,prose-chapter,
urn:cts:latinLit:phi1348.abo017.perseus-lat2,phi1348/abo017/phi1348.abo017.perseus-lat2.xml,Suetonius,Galba,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo018.perseus-eng2,phi1348/abo018/phi1348.abo018.perseus-eng2.xml,Suetonius,Otho,prose-chapter-section,high,prose,prose-chapter,chapter+l,ready,false,prose-chapter,
urn:cts:latinLit:phi1348.abo018.perseus-lat2,phi1348/abo018/phi1348.abo018.perseus-lat2.xml,Suetonius,Otho,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo019.perseus-eng2,phi1348/abo019/phi1348.abo019.perseus-eng2.xml,Suetonius,Vitellius,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi1348.abo019.perseus-lat2,phi1348/abo019/phi1348.abo019.perseus-lat2.xml,Suetonius,Vitellius,prose-chapter-section,high,prose,prose-chapter-section,chapter+section,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo020.perseus-eng2,phi1348/abo020/phi1348.abo020.perseus-eng2.xml,Suetonius,Divus Vespasianus,prose-chapter-section,high,prose,prose-chapter,chapter+l,ready,false,prose-chapter,
urn:cts:latinLit:phi1348.abo020.perseus-lat2,phi1348/abo020/phi1348.abo020.perseus-lat2.xml,Suetonius,Divus Vespasianus,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1348.abo021.perseus-eng2,phi1348/abo021/phi1348.abo021.perseus-eng2.xml,Suetonius,Divus Titus,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi1348.abo021.perseus-lat2,phi1348/abo021/phi1348.abo021.perseus-lat2.xml,Suetonius,Divus Titus,prose-chapter-section,high,prose,prose-chapter-section,chapter+section,ready,false,prose-chapter-section,
