urn,path,genre,structural_type,div_subtypes,milestone_units,issues
tlg0086.tlg008.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg008/tlg0086.tlg008.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0086.tlg011.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg011/tlg0086.tlg011.1st1K-grc1.xml,prose-epistolary,div-based,epistle,,
tlg0086.tlg012.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg012/tlg0086.tlg012.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter,,
tlg0086.tlg013.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg013/tlg0086.tlg013.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter,,
tlg0086.tlg013.1st1K-grc2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg013/tlg0086.tlg013.1st1K-grc2.xml,prose-philosophy,div-based,book|chapter,,
tlg0086.tlg014.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg014/tlg0086.tlg014.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter,,
tlg0086.tlg015.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg015/tlg0086.tlg015.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0086.tlg016.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg016/tlg0086.tlg016.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0086.tlg017.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg017/tlg0086.tlg017.1st1K-grc1.xml,prose-philosophy,mixed,chapter,section,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0086.tlg018.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg018/tlg0086.tlg018.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0086.tlg019.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg019/tlg0086.tlg019.1st1K-grc1.xml,prose-philosophy,mixed,section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0086.tlg020.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg020/tlg0086.tlg020.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0086.tlg021.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg021/tlg0086.tlg021.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0086.tlg022.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg022/tlg0086.tlg022.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter|section,,
tlg0086.tlg023.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg023/tlg0086.tlg023.1st1K-grc1.xml,prose-philosophy,mixed,chapter|section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0086.tlg024.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg024/tlg0086.tlg024.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0086.tlg026.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg026/tlg0086.tlg026.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter,,
tlg0086.tlg026.1st1K-grc2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg026/tlg0086.tlg026.1st1K-grc2.xml,prose-philosophy,div-based,book|chapter,,
tlg0086.tlg027.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg027/tlg0086.tlg027.1st1K-grc1.xml,prose-philosophy,mixed,chapter|section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0086.tlg030.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg030/tlg0086.tlg030.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter|section,,
tlg0086.tlg031.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg031/tlg0086.tlg031.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter,,
tlg0086.tlg032.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg032/tlg0086.tlg032.1st1K-grc1.xml,prose-philosophy,mixed,chapter|section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0086.tlg036.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg036/tlg0086.tlg036.1st1K-grc1.xml,prose-philosophy,mixed,book|chapter,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0086.tlg037.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg037/tlg0086.tlg037.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0086.tlg039.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg039/tlg0086.tlg039.1st1K-grc1.xml,prose-philosophy,mixed,part|chapter|section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0086.tlg040.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg040/tlg0086.tlg040.1st1K-grc1.xml,prose-philosophy,mixed,chapter,section,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0086.tlg041.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg041/tlg0086.tlg041.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg0086.tlg042.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg042/tlg0086.tlg042.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0086.tlg043.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg043/tlg0086.tlg043.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0086.tlg044.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg044/tlg0086.tlg044.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter,,
tlg0086.tlg046.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg046/tlg0086.tlg046.1st1K-grc1.xml,prose-philosophy,mixed,section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0086.tlg047.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg047/tlg0086.tlg047.1st1K-grc1.xml,prose-philosophy,mixed,part|chapter|section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0086.tlg048.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg048/tlg0086.tlg048.1st1K-grc1.xml,prose-philosophy,div-based,book|section,,
tlg0086.tlg052.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg052/tlg0086.tlg052.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0086.tlg054.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0086/tlg054/tlg0086.tlg054.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg001/tlg0087.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,book,,
tlg0087.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg002/tlg0087.tlg002.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg004/tlg0087.tlg004.1st1K-grc1.xml,prose-philosophy,div-based,paragraph,,
tlg0087.tlg005.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg005/tlg0087.tlg005.1st1K-grc1.xml,prose-philosophy,div-based,book,,
tlg0087.tlg006.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg006/tlg0087.tlg006.1st1K-grc1.xml,prose-philosophy,div-based,book,,
tlg0087.tlg007.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg007/tlg0087.tlg007.1st1K-grc1.xml,prose-philosophy,div-based,book|paragraph,,
tlg0087.tlg008.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg008/tlg0087.tlg008.1st1K-grc1.xml,prose-philosophy,div-based,book|paragraph,,
tlg0087.tlg009.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg009/tlg0087.tlg009.1st1K-grc1.xml,prose-philosophy,div-based,paragraph,,
tlg0087.tlg009a.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg009a/tlg0087.tlg009a.1st1K-grc1.xml,prose-philosophy,div-based,paragraph,,
tlg0087.tlg010.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg010/tlg0087.tlg010.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg011.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg011/tlg0087.tlg011.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter|section|paragraph,,
tlg0087.tlg012.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg012/tlg0087.tlg012.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg013.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg013/tlg0087.tlg013.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg0087.tlg014.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg014/tlg0087.tlg014.1st1K-grc1.xml,prose-philosophy,div-based,book,,
tlg0087.tlg015.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg015/tlg0087.tlg015.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg016.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg016/tlg0087.tlg016.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg017.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg017/tlg0087.tlg017.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg018.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg018/tlg0087.tlg018.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg019.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg019/tlg0087.tlg019.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg020.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg020/tlg0087.tlg020.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg021.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg021/tlg0087.tlg021.1st1K-grc1.xml,prose-philosophy,div-based,section|paragraph,,
tlg0087.tlg022.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg022/tlg0087.tlg022.1st1K-grc1.xml,prose-philosophy,div-based,section|paragraph,,
tlg0087.tlg023.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg023/tlg0087.tlg023.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg024.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg024/tlg0087.tlg024.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg025.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg025/tlg0087.tlg025.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg026.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg026/tlg0087.tlg026.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg0087.tlg027.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg027/tlg0087.tlg027.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg028.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg028/tlg0087.tlg028.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg029.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg029/tlg0087.tlg029.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg030.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg030/tlg0087.tlg030.1st1K-grc1.xml,prose-dialogue,div-based,section,,
tlg0087.tlg031.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg031/tlg0087.tlg031.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg032.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg032/tlg0087.tlg032.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0087.tlg033.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg033/tlg0087.tlg033.1st1K-grc1.xml,prose-philosophy,div-based,book|paragraph,,
tlg0087.tlg035.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0087/tlg035/tlg0087.tlg035.1st1K-grc1.xml,prose-philosophy,div-based,part|page,,
tlg0088.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0088/tlg001/tlg0088.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,book|section,,
tlg0090.tlg001.opp-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0090/tlg001/tlg0090.tlg001.opp-eng1.xml,prose-geography,div-based,chapter|section,,
tlg0090.tlg001.opp-grc10,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0090/tlg001/tlg0090.tlg001.opp-grc10.xml,prose-geography,div-based,chapter|section,,
tlg0090.tlg001.opp-grc3,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0090/tlg001/tlg0090.tlg001.opp-grc3.xml,prose-geography,div-based,chapter|section,,
tlg0090.tlg001.opp-grc6,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0090/tlg001/tlg0090.tlg001.opp-grc6.xml,prose-geography,div-based,chapter|section,,
tlg0090.tlg001.opp-grc7,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0090/tlg001/tlg0090.tlg001.opp-grc7.xml,prose-geography,mixed,chapter|section,section,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0090.tlg001.opp-grc9,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0090/tlg001/tlg0090.tlg001.opp-grc9.xml,prose-geography,mixed,chapter|section,section,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0090.tlg001.opp-lat10,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0090/tlg001/tlg0090.tlg001.opp-lat10.xml,prose-geography,div-based,chapter|section,,
tlg0090.tlg001.opp-lat4,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0090/tlg001/tlg0090.tlg001.opp-lat4.xml,prose-geography,mixed,chapter|section,section,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0090.tlg001.opp-lat9,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0090/tlg001/tlg0090.tlg001.opp-lat9.xml,prose-geography,div-based,chapter|section,,
tlg0092.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0092/tlg001/tlg0092.tlg001.1st1K-grc1.xml,prose-geography,div-based,chapter|section,,
tlg0093.ogl001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/ogl001/tlg0093.ogl001.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg0093.ogl002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/ogl002/tlg0093.ogl002.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg0093.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg001/tlg0093.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter|section,,
tlg0093.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg002/tlg0093.tlg002.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter|section,,
tlg0093.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg003/tlg0093.tlg003.1st1K-grc1.xml,prose-philosophy,mixed,fragment|chapter,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|23|24|25|26|27|28|29|3|30|31|32|33|34|35|36|37|38|39|4|40|41|42|43|44|45|46|47|48|49|5|50|51|52|53|54|55|56|57|58|59|6|60|61|62|63|64|65|66|67|68|69|7|70|71|72|73|74|75|76|77|78|79|8|80|81|82|83|84|85|86|87|88|89|9|90|91,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0093.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg004/tlg0093.tlg004.1st1K-grc1.xml,prose-philosophy,mixed,fragment|chapter,1|10|12|13|14|15|16|17|18|19|2|20|21|22|23|24|25|26|27|28|29|3|30|31|32|33|34|35|36|37|38|39|4|40|41|42|43|44|45|46|47|48|49|5|50|51|52|53|54|55|56|57|58|59|6|60|61|62|63|64|65|66|67|68|69|7|8|9,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0093.tlg005.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg005/tlg0093.tlg005.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg0093.tlg006.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg006/tlg0093.tlg006.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0093.tlg010x01.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg010x01/tlg0093.tlg010x01.1st1K-grc1.xml,prose-philosophy,mixed,chapter|section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0093.tlg010x02.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg010x02/tlg0093.tlg010x02.1st1K-grc1.xml,prose-philosophy,mixed,chapter|section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0093.tlg010x03.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg010x03/tlg0093.tlg010x03.1st1K-grc1.xml,prose-philosophy,mixed,chapter|section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0093.tlg010x04.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg010x04/tlg0093.tlg010x04.1st1K-grc1.xml,prose-philosophy,mixed,chapter|section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0093.tlg010x05.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg010x05/tlg0093.tlg010x05.1st1K-grc1.xml,prose-philosophy,mixed,section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0093.tlg010x06.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg010x06/tlg0093.tlg010x06.1st1K-grc1.xml,prose-philosophy,mixed,section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0093.tlg010x07.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg010x07/tlg0093.tlg010x07.1st1K-grc1.xml,prose-philosophy,mixed,section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0093.tlg010x08.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg010x08/tlg0093.tlg010x08.1st1K-grc1.xml,prose-philosophy,mixed,section,page,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0093.tlg010x09.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0093/tlg010x09/tlg0093.tlg010x09.1st1K-grc1.xml,prose-philosophy,div-based,fragment|section,,
tlg0094.tlg001.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0094/tlg001/tlg0094.tlg001.1st1K-eng1.xml,prose-geography,div-based,chapter,,
tlg0094.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0094/tlg001/tlg0094.tlg001.1st1K-grc1.xml,prose-geography,div-based,chapter|section,,
tlg0096.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0096/tlg002/tlg0096.tlg002.1st1K-grc1.xml,verse-didactic,div-based,fabula,,
tlg0096.tlg002.opp-grc3,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0096/tlg002/tlg0096.tlg002.opp-grc3.xml,verse-didactic,div-based,fable|section,,
tlg0097.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0097/tlg001/tlg0097.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,centuria|section,,
tlg0098.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0098/tlg001/tlg0098.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,centuria|section,,
tlg0099.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0099/tlg004/tlg0099.tlg004.1st1K-grc1.xml,prose-geography,div-based,book|section,,
tlg0233.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0233/tlg001/tlg0233.tlg001.1st1K-grc1.xml,verse-iambic,div-based,section,,
tlg0317.tlg001.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0317/tlg001/tlg0317.tlg001.1st1K-eng1.xml,prose-biography,div-based,section,,
tlg0317.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0317/tlg001/tlg0317.tlg001.1st1K-grc1.xml,prose-biography,div-based,chapter,,
tlg0317.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0317/tlg002/tlg0317.tlg002.1st1K-grc1.xml,prose-biography,div-based,chapter,,
tlg0319.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0319/tlg004/tlg0319.tlg004.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg0357.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0357/tlg001/tlg0357.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0357.tlg001.1st1K-grc2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0357/tlg001/tlg0357.tlg001.1st1K-grc2.xml,prose-philosophy,div-based,chapter,,
tlg0358.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0358/tlg001/tlg0358.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg0358.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0358/tlg002/tlg0358.tlg002.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0358.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0358/tlg004/tlg0358.tlg004.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg0358.tlg005.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0358/tlg005/tlg0358.tlg005.1st1K-grc1.xml,prose-philosophy,div-based,section,,
