urn,path,genre,structural_type,div_subtypes,milestone_units,issues
tlg0018.tlg004.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg004/tlg0018.tlg004.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter|chapterx,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg004/tlg0018.tlg004.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg005.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg005/tlg0018.tlg005.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg005.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg005/tlg0018.tlg005.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg006.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg006/tlg0018.tlg006.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg006.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg006/tlg0018.tlg006.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg007.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg007/tlg0018.tlg007.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg007.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg007/tlg0018.tlg007.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg008.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg008/tlg0018.tlg008.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg008.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg008/tlg0018.tlg008.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg009.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg009/tlg0018.tlg009.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg009.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg009/tlg0018.tlg009.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg010.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg010/tlg0018.tlg010.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg010.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg010/tlg0018.tlg010.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg011.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg011/tlg0018.tlg011.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg011.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg011/tlg0018.tlg011.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg012.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg012/tlg0018.tlg012.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg012.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg012/tlg0018.tlg012.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg013.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg013/tlg0018.tlg013.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg013.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg013/tlg0018.tlg013.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
