element,genre,file_count,instance_count
correction,prose-philosophy,165,165
l,prose-biography,5,162
ref,prose-oratory,151,161
edition,attic-tragedy,1,155
TEI,prose-oratory,151,151
availability,prose-oratory,151,151
biblStruct,prose-oratory,151,151
body,prose-oratory,151,151
encodingDesc,prose-oratory,151,151
fileDesc,prose-oratory,151,151
imprint,prose-oratory,151,151
langUsage,prose-oratory,151,151
monogr,prose-oratory,151,151
profileDesc,prose-oratory,151,151
publicationStmt,prose-oratory,151,151
refsDecl,prose-oratory,151,151
sourceDesc,prose-oratory,151,151
teiHeader,prose-oratory,151,151
text,prose-oratory,151,151
titleStmt,prose-oratory,151,151
licence,prose-oratory,150,150
principal,prose-oratory,136,150
seg,prose-philosophy,3,149
title,prose-historiography,63,148
editor,prose-historiography,63,145
funder,prose-oratory,144,144
seg,prose-oratory,4,142
authority,prose-oratory,141,141
idno,prose-oratory,139,139
bibl,verse-epigram,2,130
name,prose-oratory,124,130
foreign,prose-historiography,4,129
listBibl,prose-oratory,128,128
pubPlace,prose-historiography,63,128
publisher,prose-historiography,63,128
bibl,verse-epic,4,126
author,prose-historiography,63,125
biblScope,prose-oratory,123,124
cRefPattern,prose-historiography,63,124
language,prose-historiography,63,124
head,prose-biography,27,122
sponsor,prose-oratory,120,120
ref,verse-epic,12,118
hi,prose-geography,4,114
title,prose-epistolary,52,112
publisher,prose-epistolary,52,111
editor,prose-epistolary,52,109
pubPlace,prose-epistolary,52,109
title,prose-biography,48,106
add,prose-biography,6,103
language,prose-geography,35,102
date,prose-epistolary,52,100
orgName,prose-biography,26,100
persName,verse-epic,12,95
meeting,prose-philosophy,94,94
publisher,prose-biography,47,94
ab,prose-biography,2,91
pubPlace,prose-biography,46,91
addName,prose-oratory,90,90
editor,prose-biography,46,90
principal,prose-historiography,60,89
date,prose-biography,46,88
hi,attic-tragedy,6,86
ref,prose-epistolary,52,86
del,prose-historiography,10,85
q,prose-geography,2,82
language,prose-biography,48,81
ref,prose-biography,48,80
language,prose-epistolary,52,79
quote,prose-biography,12,79
item,prose-geography,3,78
resp,verse-epic,12,77
cRefPattern,prose-epistolary,52,76
lg,prose-geography,7,76
pubPlace,attic-tragedy,12,76
add,prose-historiography,5,75
editor,prose-geography,35,74
milestone,prose-geography,4,74
author,prose-epistolary,52,73
q,prose-biography,5,73
respStmt,verse-epic,12,73
add,prose-geography,3,72
author,prose-biography,47,72
pb,verse-epigram,5,72
date,attic-tragedy,12,71
del,prose-biography,4,71
ref,prose-historiography,63,71
author,prose-geography,35,69
change,prose-biography,41,69
date,prose-geography,35,69
foreign,verse-epigram,2,69
publisher,prose-geography,35,69
title,verse-didactic,33,69
language,verse-didactic,33,68
lg,prose-oratory,45,68
p,verse-iambic,2,68
quote,verse-epic,4,68
pubPlace,prose-geography,35,67
sic,verse-didactic,2,67
date,verse-didactic,33,66
editor,verse-didactic,33,66
publisher,verse-didactic,33,66
pubPlace,verse-didactic,33,65
emph,prose-philosophy,5,64
TEI,prose-historiography,63,63
availability,prose-historiography,63,63
biblStruct,prose-historiography,63,63
body,prose-historiography,63,63
cRefPattern,prose-geography,35,63
encodingDesc,prose-historiography,63,63
fileDesc,prose-historiography,63,63
imprint,prose-historiography,63,63
langUsage,prose-historiography,63,63
licence,prose-historiography,63,63
monogr,prose-historiography,63,63
profileDesc,prose-historiography,63,63
publicationStmt,prose-historiography,63,63
refsDecl,prose-historiography,63,63
sourceDesc,prose-historiography,63,63
teiHeader,prose-historiography,63,63
text,prose-historiography,63,63
titleStmt,prose-historiography,63,63
funder,prose-historiography,62,62
milestone,verse-elegiac,1,62
authority,prose-historiography,61,61
p,verse-elegiac,1,61
cRefPattern,prose-biography,48,60
foreign,prose-biography,11,60
author,verse-didactic,33,59
change,prose-oratory,46,59
div,verse-iambic,2,59
name,prose-historiography,51,58
biblScope,prose-historiography,52,57
change,prose-historiography,54,57
gap,prose-oratory,10,56
idno,prose-historiography,56,56
sp,verse-elegiac,1,56
speaker,verse-elegiac,1,56
div,verse-elegiac,1,55
lg,verse-epic,4,55
rdg,prose-biography,1,55
imprint,prose-epistolary,52,54
label,attic-tragedy,1,54
p,attic-tragedy,11,54
persName,verse-epigram,5,54
revisionDesc,prose-historiography,54,54
cRefPattern,verse-didactic,33,53
listBibl,prose-historiography,53,53
TEI,prose-epistolary,52,52
availability,prose-epistolary,52,52
biblStruct,prose-epistolary,52,52
body,prose-epistolary,52,52
encodingDesc,prose-epistolary,52,52
fileDesc,prose-epistolary,52,52
funder,prose-epistolary,52,52
fw,prose-geography,4,52
langUsage,prose-epistolary,52,52
licence,prose-epistolary,52,52
monogr,prose-epistolary,52,52
profileDesc,prose-epistolary,52,52
publicationStmt,prose-epistolary,52,52
refsDecl,prose-epistolary,52,52
sourceDesc,prose-epistolary,52,52
teiHeader,prose-epistolary,52,52
text,prose-epistolary,52,52
titleStmt,prose-epistolary,52,52
foreign,verse-iambic,2,50
funder,prose-biography,46,50
TEI,prose-biography,48,48
availability,prose-biography,48,48
body,prose-biography,48,48
change,prose-epistolary,42,48
encodingDesc,prose-biography,48,48
fileDesc,prose-biography,48,48
idno,prose-epistolary,48,48
langUsage,prose-biography,48,48
orgName,prose-oratory,12,48
profileDesc,prose-biography,48,48
publicationStmt,prose-biography,48,48
refsDecl,prose-biography,48,48
sourceDesc,prose-biography,48,48
teiHeader,prose-biography,48,48
text,prose-biography,48,48
titleStmt,prose-biography,48,48
licence,prose-biography,47,47
biblStruct,prose-biography,46,46
imprint,prose-biography,46,46
monogr,prose-biography,46,46
q,verse-epic,3,46
resp,verse-epigram,5,46
revisionDesc,prose-oratory,46,46
sp,prose-oratory,1,46
sp,attic-comedy,1,46
speaker,prose-oratory,1,46
speaker,attic-comedy,1,46
bibl,verse-iambic,2,45
quote,prose-oratory,3,45
quote,verse-epigram,2,45
respStmt,verse-epigram,5,45
s,prose-biography,1,45
idno,prose-biography,44,44
orgName,verse-didactic,5,44
gap,prose-historiography,6,43
ab,prose-philosophy,3,42
revisionDesc,prose-epistolary,42,42
persName,verse-lyric-monodic,6,41
revisionDesc,prose-biography,41,41
quotation,prose-philosophy,40,40
l,prose-dialogue,2,39
lg,prose-biography,4,39
persName,prose-dialogue,6,39
change,verse-didactic,32,38
principal,verse-didactic,28,38
resp,prose-dialogue,11,38
change,prose-geography,34,37
label,prose-historiography,2,37
normalization,prose-philosophy,37,37
respStmt,prose-dialogue,11,37
supplied,verse-didactic,2,37
ref,prose-geography,34,36
ref,verse-didactic,32,36
TEI,prose-geography,35,35
availability,prose-geography,35,35
bibl,prose-historiography,1,35
biblStruct,prose-geography,35,35
body,prose-geography,35,35
encodingDesc,prose-geography,35,35
fileDesc,prose-geography,35,35
funder,prose-geography,35,35
hi,prose-biography,2,35
idno,prose-geography,35,35
imprint,prose-geography,35,35
langUsage,prose-geography,35,35
licence,prose-geography,35,35
monogr,prose-geography,35,35
profileDesc,prose-geography,35,35
publicationStmt,prose-geography,35,35
refsDecl,prose-geography,35,35
sourceDesc,prose-geography,35,35
teiHeader,prose-geography,35,35
text,prose-geography,35,35
title,verse-epic,12,35
titleStmt,prose-geography,35,35
biblScope,prose-geography,31,34
correction,prose-epistolary,34,34
editorialDecl,prose-epistolary,34,34
gap,verse-lyric-pindaric,1,34
revisionDesc,prose-geography,34,34
TEI,verse-didactic,33,33
authority,prose-geography,33,33
availability,verse-didactic,33,33
biblStruct,verse-didactic,33,33
body,verse-didactic,33,33
encodingDesc,verse-didactic,33,33
fileDesc,verse-didactic,33,33
forename,prose-philosophy,32,33
funder,verse-didactic,33,33
head,prose-dialogue,5,33
idno,verse-didactic,33,33
imprint,verse-didactic,33,33
langUsage,verse-didactic,33,33
licence,verse-didactic,33,33
monogr,verse-didactic,33,33
principal,prose-geography,31,33
profileDesc,verse-didactic,33,33
publicationStmt,verse-didactic,33,33
refsDecl,verse-didactic,33,33
resp,verse-lyric-monodic,6,33
resp,attic-tragedy,12,33
respStmt,verse-lyric-monodic,6,33
sourceDesc,verse-didactic,33,33
space,prose-philosophy,1,33
surname,prose-philosophy,32,33
teiHeader,verse-didactic,33,33
text,verse-didactic,33,33
titleStmt,verse-didactic,33,33
gap,prose-biography,5,32
l,verse-elegiac,1,32
lb,attic-tragedy,5,32
pb,verse-elegiac,1,32
respStmt,attic-tragedy,12,32
revisionDesc,verse-didactic,32,32
sic,prose-biography,6,32
abbr,prose-geography,7,31
ex,prose-geography,7,31
expan,prose-geography,7,31
listBibl,prose-geography,31,31
name,prose-geography,30,31
biblScope,prose-biography,30,30
editor,verse-epic,12,30
person,prose-philosophy,2,30
sponsor,prose-historiography,30,30
authority,verse-didactic,29,29
forename,prose-epistolary,27,29
meeting,prose-historiography,29,29
persName,attic-tragedy,5,29
surname,prose-epistolary,27,29
foreign,prose-geography,8,28
listBibl,verse-didactic,28,28
name,verse-didactic,28,28
abbr,prose-biography,1,27
app,prose-biography,1,27
language,verse-epic,12,27
biblScope,prose-epistolary,24,26
emph,prose-biography,1,26
correction,prose-biography,25,25
editorialDecl,prose-biography,25,25
lb,verse-lyric-monodic,3,25
title,prose-dialogue,12,25
author,attic-tragedy,12,24
date,verse-epic,12,24
editor,attic-tragedy,12,24
editor,prose-dialogue,12,24
language,attic-tragedy,12,24
milestone,verse-didactic,2,24
orgName,verse-epigram,2,24
publisher,verse-epic,12,24
publisher,attic-tragedy,12,24
publisher,prose-dialogue,12,24
title,attic-tragedy,12,24
author,prose-dialogue,12,23
date,prose-dialogue,12,23
label,verse-epic,2,23
pubPlace,prose-dialogue,12,23
add,verse-lyric-pindaric,2,22
authority,prose-biography,22,22
principal,prose-biography,21,22
biblScope,verse-didactic,21,21
change,attic-tragedy,12,21
persName,verse-iambic,2,21
pubPlace,verse-epic,12,21
cRefPattern,verse-epic,12,20
listBibl,prose-biography,20,20
persName,verse-lyric-pindaric,3,20
ref,prose-dialogue,12,20
forename,prose-biography,19,19
head,attic-tragedy,10,19
m,prose-biography,1,19
pb,verse-lyric-pindaric,2,19
principal,prose-epistolary,16,19
resp,verse-lyric-pindaric,3,19
respStmt,verse-lyric-pindaric,3,19
surname,prose-biography,19,19
add,prose-epistolary,1,18
authority,prose-epistolary,18,18
figDesc,prose-philosophy,4,18
language,prose-dialogue,12,18
orgName,prose-historiography,4,18
author,verse-epic,11,17
name,prose-biography,16,17
name,attic-tragedy,9,16
pb,verse-iambic,2,16
quote,verse-elegiac,1,16
change,verse-epic,12,15
head,verse-iambic,2,15
orgName,verse-iambic,2,15
quote,prose-dialogue,2,15
resp,verse-iambic,2,15
respStmt,verse-iambic,2,15
cRefPattern,prose-dialogue,12,14
editor,verse-epigram,5,14
meeting,prose-oratory,14,14
name,verse-epic,11,14
sic,prose-oratory,2,14
ab,prose-geography,5,13
add,attic-tragedy,2,13
cRefPattern,attic-tragedy,12,13
gap,attic-tragedy,7,13
gap,verse-epic,2,13
l,prose-epistolary,3,13
label,verse-epigram,2,13
listBibl,prose-epistolary,13,13
name,prose-dialogue,8,13
orgName,verse-epic,4,13
quote,prose-historiography,2,13
TEI,verse-epic,12,12
TEI,attic-tragedy,12,12
TEI,prose-dialogue,12,12
author,verse-lyric-monodic,6,12
availability,verse-epic,12,12
availability,prose-dialogue,12,12
biblScope,verse-epic,12,12
biblScope,prose-dialogue,11,12
biblStruct,verse-epic,12,12
biblStruct,attic-tragedy,12,12
biblStruct,prose-dialogue,12,12
body,verse-epic,12,12
body,attic-tragedy,12,12
body,prose-dialogue,12,12
change,prose-dialogue,11,12
date,verse-lyric-monodic,6,12
del,verse-epic,2,12
editor,verse-lyric-monodic,6,12
encodingDesc,verse-epic,12,12
encodingDesc,attic-tragedy,12,12
encodingDesc,prose-dialogue,12,12
fileDesc,verse-epic,12,12
fileDesc,attic-tragedy,12,12
fileDesc,prose-dialogue,12,12
funder,verse-epic,12,12
head,verse-epic,8,12
idno,verse-epic,12,12
imprint,verse-epic,12,12
imprint,attic-tragedy,12,12
imprint,prose-dialogue,12,12
langUsage,verse-epic,12,12
langUsage,attic-tragedy,12,12
langUsage,prose-dialogue,12,12
language,verse-epigram,5,12
licence,verse-epic,12,12
licence,prose-dialogue,12,12
monogr,verse-epic,12,12
monogr,attic-tragedy,12,12
monogr,prose-dialogue,12,12
name,prose-epistolary,12,12
note,verse-epigram,3,12
orgName,prose-geography,4,12
principal,verse-epic,8,12
principal,attic-tragedy,11,12
profileDesc,verse-epic,12,12
profileDesc,attic-tragedy,12,12
profileDesc,prose-dialogue,12,12
publicationStmt,verse-epic,12,12
publicationStmt,attic-tragedy,12,12
publicationStmt,prose-dialogue,12,12
publisher,verse-lyric-monodic,6,12
refsDecl,verse-epic,12,12
refsDecl,attic-tragedy,12,12
refsDecl,prose-dialogue,12,12
revisionDesc,verse-epic,12,12
revisionDesc,attic-tragedy,12,12
sourceDesc,verse-epic,12,12
sourceDesc,attic-tragedy,12,12
sourceDesc,prose-dialogue,12,12
sponsor,verse-didactic,12,12
teiHeader,verse-epic,12,12
teiHeader,attic-tragedy,12,12
teiHeader,prose-dialogue,12,12
text,verse-epic,12,12
text,attic-tragedy,12,12
text,prose-dialogue,12,12
title,verse-lyric-monodic,6,12
titleStmt,verse-epic,12,12
titleStmt,attic-tragedy,12,12
titleStmt,prose-dialogue,12,12
abstract,prose-philosophy,11,11
authority,attic-tragedy,11,11
bibl,prose-biography,1,11
cRefPattern,verse-lyric-monodic,6,11
cit,prose-philosophy,3,11
correction,prose-oratory,11,11
editorialDecl,prose-oratory,11,11
funder,prose-dialogue,11,11
idno,prose-dialogue,11,11
language,verse-lyric-monodic,6,11
principal,prose-dialogue,9,11
pubPlace,verse-lyric-monodic,6,11
revisionDesc,prose-dialogue,11,11
title,verse-epigram,5,11
author,verse-epigram,5,10
authority,prose-dialogue,10,10
availability,attic-tragedy,10,10
date,verse-epigram,5,10
funder,attic-tragedy,10,10
licence,attic-tragedy,10,10
meeting,verse-didactic,10,10
orgName,attic-tragedy,3,10
persName,unknown,1,10
pubPlace,verse-epigram,5,10
publisher,verse-epigram,5,10
quote,verse-iambic,1,10
resp,unknown,1,10
series,prose-historiography,10,10
sponsor,attic-tragedy,10,10
addName,prose-geography,9,9
milestone,attic-comedy,1,9
q,verse-iambic,2,9
respStmt,unknown,1,9
authority,verse-epic,8,8
del,prose-epistolary,2,8
forename,prose-oratory,6,8
head,verse-epigram,4,8
listBibl,verse-epic,8,8
q,prose-dialogue,2,8
sponsor,prose-epistolary,8,8
surname,prose-oratory,6,8
title,verse-lyric-pindaric,3,8
cRefPattern,verse-epigram,5,7
change,verse-epigram,5,7
correction,prose-dialogue,7,7
editorialDecl,prose-dialogue,7,7
extent,attic-tragedy,7,7
foreign,prose-epistolary,2,7
lg,prose-dialogue,1,7
num,verse-iambic,1,7
pb,attic-comedy,1,7
ref,verse-lyric-monodic,6,7
ref,verse-epigram,5,7
series,prose-biography,7,7
sponsor,prose-dialogue,7,7
TEI,verse-lyric-monodic,6,6
add,verse-epic,3,6
author,verse-lyric-pindaric,3,6
availability,verse-lyric-monodic,6,6
biblScope,verse-lyric-monodic,6,6
biblStruct,verse-lyric-monodic,6,6
body,verse-lyric-monodic,6,6
change,verse-lyric-monodic,6,6
editor,verse-iambic,2,6
editor,verse-lyric-pindaric,3,6
encodingDesc,verse-lyric-monodic,6,6
fileDesc,verse-lyric-monodic,6,6
funder,verse-lyric-monodic,6,6
handNote,prose-biography,1,6
idno,verse-lyric-monodic,6,6
imprint,verse-lyric-monodic,6,6
langUsage,verse-lyric-monodic,6,6
language,verse-lyric-pindaric,3,6
licence,verse-lyric-monodic,6,6
monogr,verse-lyric-monodic,6,6
name,verse-lyric-monodic,6,6
profileDesc,verse-lyric-monodic,6,6
pubPlace,verse-lyric-pindaric,3,6
publicationStmt,verse-lyric-monodic,6,6
publisher,verse-lyric-pindaric,3,6
quote,prose-epistolary,4,6
refsDecl,verse-lyric-monodic,6,6
revisionDesc,verse-lyric-monodic,6,6
series,prose-oratory,6,6
sourceDesc,verse-lyric-monodic,6,6
sponsor,prose-biography,6,6
teiHeader,verse-lyric-monodic,6,6
text,verse-lyric-monodic,6,6
titleStmt,verse-lyric-monodic,6,6
TEI,verse-epigram,5,5
authority,verse-lyric-monodic,5,5
availability,verse-epigram,5,5
biblStruct,verse-epigram,5,5
body,verse-epigram,5,5
corr,prose-geography,4,5
del,attic-tragedy,2,5
encodingDesc,verse-epigram,5,5
fileDesc,verse-epigram,5,5
funder,verse-epigram,5,5
idno,attic-tragedy,5,5
idno,verse-epigram,5,5
imprint,verse-epigram,5,5
item,attic-tragedy,1,5
label,prose-oratory,1,5
langUsage,verse-epigram,5,5
language,verse-iambic,2,5
licence,verse-epigram,5,5
listBibl,verse-lyric-monodic,5,5
monogr,verse-epigram,5,5
principal,verse-lyric-monodic,5,5
profileDesc,verse-epigram,5,5
publicationStmt,verse-epigram,5,5
q,verse-epigram,2,5
refsDecl,verse-epigram,5,5
revisionDesc,verse-epigram,5,5
sourceDesc,verse-epigram,5,5
teiHeader,verse-epigram,5,5
text,verse-epigram,5,5
titleStmt,verse-epigram,5,5
unclear,prose-philosophy,5,5
author,verse-iambic,2,4
cRefPattern,verse-lyric-pindaric,3,4
cb,prose-biography,1,4
