element,genre,file_count,instance_count
refsDecl,verse-iambic,2,2
repository,prose-biography,2,2
revisionDesc,verse-iambic,2,2
revisionDesc,verse-lyric-pindaric,2,2
series,prose-epistolary,2,2
series,verse-didactic,2,2
series,verse-lyric-pindaric,2,2
sourceDesc,verse-iambic,2,2
sponsor,verse-epigram,2,2
teiHeader,verse-iambic,2,2
text,verse-iambic,2,2
title,verse-elegiac,1,2
title,attic-comedy,1,2
title,unknown,1,2
titleStmt,verse-iambic,2,2
TEI,verse-elegiac,1,1
TEI,attic-comedy,1,1
TEI,unknown,1,1
abbr,prose-epistolary,1,1
abstract,prose-biography,1,1
abstract,verse-didactic,1,1
add,verse-lyric-monodic,1,1
addName,verse-didactic,1,1
analytic,prose-philosophy,1,1
app,attic-tragedy,1,1
authority,verse-elegiac,1,1
authority,attic-comedy,1,1
authority,unknown,1,1
availability,verse-elegiac,1,1
availability,attic-comedy,1,1
availability,unknown,1,1
biblScope,attic-tragedy,1,1
biblScope,verse-elegiac,1,1
biblScope,attic-comedy,1,1
biblScope,verse-iambic,1,1
biblScope,unknown,1,1
biblStruct,verse-elegiac,1,1
biblStruct,attic-comedy,1,1
biblStruct,unknown,1,1
body,verse-elegiac,1,1
body,attic-comedy,1,1
body,unknown,1,1
cRefPattern,verse-elegiac,1,1
cRefPattern,attic-comedy,1,1
cRefPattern,unknown,1,1
change,verse-elegiac,1,1
change,attic-comedy,1,1
change,unknown,1,1
choice,prose-philosophy,1,1
collection,prose-biography,1,1
correction,verse-lyric-monodic,1,1
correction,attic-tragedy,1,1
correction,verse-elegiac,1,1
correction,attic-comedy,1,1
div,attic-comedy,1,1
edition,prose-philosophy,1,1
editorialDecl,verse-lyric-monodic,1,1
editorialDecl,attic-tragedy,1,1
editorialDecl,verse-elegiac,1,1
editorialDecl,attic-comedy,1,1
encodingDesc,verse-elegiac,1,1
encodingDesc,attic-comedy,1,1
encodingDesc,unknown,1,1
figDesc,attic-tragedy,1,1
figDesc,verse-epigram,1,1
figure,attic-tragedy,1,1
figure,verse-epigram,1,1
fileDesc,verse-elegiac,1,1
fileDesc,attic-comedy,1,1
fileDesc,unknown,1,1
forename,prose-historiography,1,1
forename,prose-dialogue,1,1
forename,verse-epic,1,1
funder,verse-elegiac,1,1
funder,attic-comedy,1,1
funder,unknown,1,1
gap,verse-epigram,1,1
graphic,attic-tragedy,1,1
graphic,verse-epigram,1,1
handNotes,prose-biography,1,1
head,unknown,1,1
hi,prose-historiography,1,1
history,prose-biography,1,1
idno,verse-elegiac,1,1
idno,attic-comedy,1,1
idno,verse-lyric-pindaric,1,1
idno,unknown,1,1
imprint,verse-elegiac,1,1
imprint,attic-comedy,1,1
imprint,unknown,1,1
incipit,prose-biography,1,1
l,verse-epigram,1,1
langUsage,verse-elegiac,1,1
langUsage,attic-comedy,1,1
langUsage,unknown,1,1
language,verse-elegiac,1,1
language,attic-comedy,1,1
lem,attic-tragedy,1,1
licence,verse-elegiac,1,1
licence,attic-comedy,1,1
licence,unknown,1,1
list,attic-tragedy,1,1
listBibl,unknown,1,1
listPerson,prose-philosophy,1,1
meeting,prose-biography,1,1
meeting,attic-tragedy,1,1
meeting,unknown,1,1
meeting,verse-epigram,1,1
monogr,verse-elegiac,1,1
monogr,attic-comedy,1,1
monogr,unknown,1,1
msContents,prose-biography,1,1
msItem,prose-biography,1,1
msName,prose-biography,1,1
msPart,prose-biography,1,1
name,verse-iambic,1,1
name,verse-lyric-pindaric,1,1
name,unknown,1,1
normalization,verse-lyric-monodic,1,1
normalization,verse-iambic,1,1
normalization,prose-geography,1,1
normalization,prose-dialogue,1,1
objectType,prose-biography,1,1
orig,verse-didactic,1,1
origin,prose-biography,1,1
principal,verse-elegiac,1,1
principal,attic-comedy,1,1
profileDesc,verse-elegiac,1,1
profileDesc,attic-comedy,1,1
profileDesc,unknown,1,1
publicationStmt,verse-elegiac,1,1
publicationStmt,attic-comedy,1,1
publicationStmt,unknown,1,1
q,attic-tragedy,1,1
q,verse-elegiac,1,1
quotation,verse-lyric-monodic,1,1
quotation,verse-iambic,1,1
quotation,prose-geography,1,1
quotation,prose-dialogue,1,1
rdg,attic-tragedy,1,1
ref,unknown,1,1
refsDecl,verse-elegiac,1,1
refsDecl,attic-comedy,1,1
refsDecl,unknown,1,1
resp,verse-elegiac,1,1
resp,attic-comedy,1,1
respStmt,verse-elegiac,1,1
respStmt,attic-comedy,1,1
revisionDesc,verse-elegiac,1,1
revisionDesc,attic-comedy,1,1
revisionDesc,unknown,1,1
series,prose-dialogue,1,1
series,verse-epigram,1,1
settlement,prose-biography,1,1
sourceDesc,verse-elegiac,1,1
sourceDesc,attic-comedy,1,1
sourceDesc,unknown,1,1
sponsor,verse-elegiac,1,1
sponsor,attic-comedy,1,1
sponsor,unknown,1,1
supplied,verse-epic,1,1
surname,prose-historiography,1,1
surname,prose-dialogue,1,1
surname,verse-epic,1,1
teiHeader,verse-elegiac,1,1
teiHeader,attic-comedy,1,1
teiHeader,unknown,1,1
text,verse-elegiac,1,1
text,attic-comedy,1,1
text,unknown,1,1
textLang,prose-biography,1,1
titleStmt,verse-elegiac,1,1
titleStmt,attic-comedy,1,1
titleStmt,unknown,1,1
