element,attribute,genre,value,count
label,lang,prose-philosophy,deu,231
p,rend,prose-philosophy,align,230
milestone,unit,prose-historiography,altpage,226
div,subtype,prose-historiography,book,219
div,subtype,verse-epic,chapter,211
note,lang,prose-biography,mul,210
note,place,prose-philosophy,inline,203
bibl,lang,prose-philosophy,eng,201
pb,ed,prose-philosophy,v,201
p,rend,prose-historiography,indent,200
p,rend,verse-didactic,merge,200
pb,ed,prose-philosophy,r,200
div,subtype,verse-lyric-monodic,chapter,197
milestone,unit,prose-philosophy,oldchapter,197
w,type,prose-biography,PREP,196
div,subtype,verse-epigram,section,194
q,rend,prose-oratory,single,191
div,subtype,prose-geography,source,190
biblScope,unit,prose-philosophy,pp,186
foreign,lang,prose-oratory,lat,176
head,rend,verse-didactic,align(center),171
div,subtype,attic-tragedy,antistrophe,160
label,lang,prose-epistolary,lat,160
div,subtype,attic-tragedy,strophe,159
w,type,prose-biography,N,159
sp,rend,prose-dialogue,align(indent),154
note,type,prose-biography,inline,153
p,rend,prose-philosophy,cont,153
div,subtype,prose-oratory,work,152
language,ident,prose-oratory,grc,151
milestone,unit,prose-oratory,altpage,151
foreign,lang,prose-philosophy,deu,149
teiHeader,lang,prose-oratory,eng,149
div,type,prose-oratory,edition,148
note,lang,prose-oratory,mul,148
div,lang,prose-oratory,grc,147
div,subtype,prose-geography,chapter,146
quote,rend,prose-philosophy,expand,146
div,subtype,verse-didactic,fable,144
bibl,lang,prose-oratory,lat,142
idno,type,prose-oratory,filename,139
head,rend,prose-oratory,bold; center,137
language,ident,prose-oratory,lat,135
title,lang,prose-philosophy,grc,133
w,type,prose-biography,V,132
div,subtype,prose-philosophy,haeresis,131
milestone,unit,prose-dialogue,Reitz_page,130
p,rend,prose-philosophy,indent(hang),130
milestone,unit,prose-philosophy,subchapter,128
biblScope,unit,prose-oratory,volume,124
w,type,prose-biography,PPERS,124
biblScope,unit,prose-philosophy,vol,121
hi,rend,prose-philosophy,indent,120
w,type,prose-biography,ART,120
milestone,unit,prose-philosophy,sentence,118
l,rend,verse-didactic,indent,116
hi,rend,prose-geography,italic,114
head,rend,prose-philosophy,align(center),113
milestone,unit,prose-biography,chapter,111
milestone,unit,prose-biography,altref,111
foreign,lang,prose-historiography,abbr,109
language,ident,prose-oratory,deu,109
div,subtype,prose-philosophy,entry,107
persName,role,prose-epistolary,principal,102
note,type,prose-dialogue,marginal,99
milestone,unit,attic-tragedy,para,97
title,lang,prose-epistolary,lat,97
milestone,ed,attic-tragedy,P,96
milestone,unit,prose-philosophy,Kühn_page,93
div,subtype,prose-philosophy,lines,92
p,rend,verse-epigram,indent,92
addName,lang,prose-oratory,deu,90
name,lang,prose-oratory,lat,90
editor,role,prose-philosophy,translator,89
language,ident,prose-philosophy,fre,87
bibl,lang,verse-epigram,lat,84
head,rend,prose-biography,center,84
lb,rend,verse-epigram,indent,84
w,type,prose-biography,PPERO,83
author,lang,prose-historiography,lat,82
title,lang,prose-philosophy,fre,80
w,lang,prose-biography,Greek,80
hi,rend,attic-tragedy,sub,79
q,rend,prose-historiography,cont,77
persName,role,prose-biography,principal,75
div,subtype,prose-biography,paragraph,73
div,subtype,prose-epistolary,verse,72
div,subtype,prose-philosophy,folio,72
milestone,unit,prose-geography,section,72
p,rend,prose-biography,merge,72
title,lang,prose-biography,lat,71
ref,rend,verse-epic,bold,70
title,lang,prose-geography,lat,69
language,ident,prose-philosophy,deu,68
milestone,unit,prose-oratory,chapter,67
milestone,unit,prose-oratory,altref,67
milestone,unit,prose-philosophy,altpage,66
title,lang,prose-historiography,lat,65
quote,rend,prose-philosophy,"blockquote, merge",63
teiHeader,lang,prose-historiography,eng,63
milestone,unit,verse-elegiac,Reitz_page,62
note,type,verse-epic,marginal,62
quote,rend,prose-biography,blockquote,62
w,type,prose-biography,CONJ,62
div,type,prose-historiography,edition,61
language,ident,prose-philosophy,eng,61
language,ident,prose-historiography,grc,60
div,lang,prose-historiography,grc,59
div,subtype,prose-oratory,homilia,59
language,ident,prose-historiography,lat,59
l,rend,attic-tragedy,indent,58
w,type,prose-biography,APST,58
biblScope,unit,prose-historiography,volume,57
div,type,verse-iambic,textpart,57
idno,type,prose-historiography,filename,56
l,rend,prose-philosophy, indent,55
div,subtype,verse-elegiac,section,54
div,type,verse-elegiac,textpart,54
emph,rend,prose-philosophy,bold,54
title,lang,prose-philosophy,deu,53
div,lang,prose-epistolary,grc,52
div,type,prose-epistolary,edition,52
figure,rend,prose-philosophy,table,52
language,ident,prose-epistolary,grc,52
teiHeader,lang,prose-epistolary,eng,52
author,lang,prose-biography,lat,51
div,subtype,attic-tragedy,anapests,51
fw,type,prose-geography,catchword,51
milestone,unit,prose-biography,altpage2,51
div,subtype,attic-tragedy,episode,50
sp,rend,prose-dialogue,merge,50
idno,type,prose-epistolary,filename,48
label,rend,prose-philosophy,italic,48
milestone,unit,prose-biography,altpage1,47
note,lang,prose-biography,lat,46
teiHeader,lang,prose-biography,eng,46
div,subtype,attic-tragedy,choral,45
language,ident,prose-biography,grc,45
milestone,unit,prose-oratory,altpage2,45
bibl,lang,prose-philosophy,deu,43
div,type,prose-biography,edition,42
idno,type,prose-biography,filename,42
title,lang,prose-philosophy,mul,42
div,lang,prose-biography,grc,41
div,type,prose-philosophy,translation,41
foreign,lang,verse-epigram,grc,41
sp,rend,verse-elegiac,merge,41
foreign,lang,prose-biography,lat,40
pb,type,prose-philosophy,col2,40
pb,type,prose-philosophy,col1,40
milestone,unit,prose-biography,oldchapter,39
milestone,unit,prose-philosophy,ms1folio,38
w,type,prose-biography,ADV,38
milestone,unit,prose-oratory,Reitz_page,37
milestone,unit,prose-philosophy,mspage,37
note,place,prose-philosophy,margin,37
w,lang,prose-biography,Hebrew,37
div,subtype,verse-epigram,poem,36
div,subtype,verse-iambic,section,36
hi,rend,prose-philosophy,subscript,36
note,lang,prose-oratory,eng,36
w,type,prose-biography,NPROP,36
author,lang,prose-oratory,lat,35
div,subtype,prose-philosophy,poem,35
idno,type,prose-geography,filename,35
language,ident,prose-geography,lat,35
milestone,unit,prose-oratory,altpage1,35
milestone,unit,prose-philosophy,ms,35
quote,rend,prose-oratory,blockquote,35
teiHeader,lang,prose-geography,eng,35
author,lang,prose-epistolary,lat,34
label,type,attic-tragedy,speaker,34
language,ident,prose-geography,grc,34
pb,ed,prose-oratory,alt,34
title,type,prose-geography,main,34
w,type,prose-biography,CCIRC,34
foreign,lang,verse-iambic,grc,33
idno,type,verse-didactic,filename,33
quote,rend,prose-philosophy,blockquote; merge,33
teiHeader,lang,verse-didactic,eng,33
bibl,lang,prose-historiography,lat,32
date,type,prose-philosophy,printing,32
div,lang,prose-philosophy,eng,32
language,ident,verse-didactic,grc,32
title,type,prose-geography,subtitle,32
author,lang,verse-didactic,lat,31
div,subtype,prose-philosophy,excerpt,31
div,subtype,prose-geography,book,30
div,subtype,prose-philosophy,work,30
p,rend,prose-philosophy,align(left),30
persName,role,prose-oratory,principal,30
q,lang,prose-philosophy,grc,30
sp,rend,prose-oratory,align(indent),30
title,lang,verse-didactic,lat,30
div,lang,prose-geography,grc,29
div,type,prose-geography,edition,29
gap,unit,verse-didactic,character,29
p,rend,verse-epic,indent,29
w,type,prose-biography,PUNCT,29
biblScope,unit,prose-geography,volume,28
div,lang,verse-didactic,grc,28
div,type,verse-didactic,edition,28
language,ident,prose-biography,lat,28
rdg,type,prose-biography,corr,28
title,type,prose-philosophy,s,28
title,type,prose-philosophy,m,28
biblScope,unit,prose-biography,volume,27
gap,rend,prose-oratory, . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,27
head,type,prose-geography,title,27
hi,rend,prose-biography,overline,27
publisher,lang,prose-philosophy,deu,27
rdg,type,prose-biography,orig,27
abbr,type,prose-biography,nomSac,26
div,subtype,prose-philosophy,centuria,26
div,subtype,verse-didactic,book,26
language,ident,verse-didactic,lat,26
p,lang,verse-epigram,lat,26
quote,rend,verse-epic,blockquote,26
title,lang,prose-historiography,grc,26
w,type,prose-biography,PTC,26
biblScope,unit,prose-epistolary,volume,25
div,subtype,prose-philosophy,psalm,25
foreign,lang,prose-geography,grc,25
milestone,unit,prose-oratory,section,25
date,type,prose-philosophy,release,24
div,subtype,verse-didactic,sentence,24
language,ident,prose-epistolary,lat,24
language,ident,prose-geography,deu,24
q,rend,prose-philosophy,merge,24
title,type,prose-philosophy,main,24
l,rend,verse-didactic, indent,23
milestone,type,verse-didactic,edition,23
milestone,unit,verse-didactic,section,23
p,rend,prose-philosophy,blockquote;merge,23
q,rend,prose-philosophy,simple,23
title,type,prose-philosophy,sub,23
label,lang,verse-epic,eng,22
milestone,unit,attic-tragedy,strophe,22
q,rend,prose-philosophy,expand,22
div,subtype,verse-iambic,poem,21
gap,rend,prose-biography, . . . ,21
l,rend,verse-epic,indent,21
milestone,unit,attic-tragedy,antistrophe,21
p,rend,prose-philosophy,center,21
p,rend,verse-iambic,indent,21
w,type,prose-biography,PPOS,21
bibl,lang,verse-iambic,lat,20
div,lang,prose-philosophy,lat,20
div,subtype,prose-philosophy,letter,20
figure,place,prose-philosophy,top,20
foreign,lang,verse-epigram,lat,20
div,subtype,attic-tragedy,ephymnion,19
div,subtype,prose-dialogue,paragraph,19
note,lang,verse-epic,lat,19
biblScope,unit,verse-didactic,volume,18
div,subtype,prose-epistolary,paragraph,18
div,subtype,prose-historiography,fragment,18
foreign,lang,prose-biography,grc,18
gap,rend,prose-philosophy, .... ,18
label,rend,prose-biography,italic,18
p,rend,prose-biography,center,18
w,type,prose-biography,VSTAT,18
lb,rend,prose-philosophy,center,17
note,lang,prose-biography,eng,17
note,place,prose-philosophy,below,17
p,rend,prose-philosophy,align(center),17
publisher,lang,prose-philosophy,fre,17
div,subtype,verse-epic,fragment,16
foreign,lang,prose-philosophy,xgrc,16
gap,rend,prose-philosophy,...,16
head,rend,prose-philosophy,indent,16
name,lang,prose-philosophy,lat,16
note,type,verse-lyric-pindaric,footnote,16
q,rend,prose-geography,single,16
w,type,prose-biography,CREL,16
foreign,lang,prose-oratory,grc,15
foreign,lang,verse-epic,abbr,15
foreign,rend,prose-philosophy,italic,15
head,lang,verse-iambic,lat,15
note,type,prose-philosophy,foodnote,15
quote,lang,verse-epic,grc,15
quote,rend,prose-philosophy,align(blockquote),15
quote,rend,verse-elegiac,blockquote,15
quote,type,prose-biography,blockquote,15
ref,rend,verse-epic,center,15
sp,rend,prose-oratory,merge,15
title,lang,attic-tragedy,lat,15
title,lang,verse-didactic,grc,15
foreign,lang,prose-historiography,deu,14
foreign,lang,verse-iambic,lat,14
p,rend,prose-philosophy,blockquote,14
p,rend,prose-philosophy,align (left),14
quote,type,prose-philosophy,blcokquote,14
title,lang,prose-dialogue,lat,14
author,lang,prose-philosophy,fre,13
bibl,lang,verse-epic,eng,13
div,subtype,verse-lyric-pindaric,poem,13
hi,rend,prose-philosophy,italic,13
list,rend,prose-philosophy,table,13
p,rend,prose-epistolary,indent(hang),13
quote,rend,prose-dialogue,blockquote,13
quote,rend,prose-philosophy,merge; script,13
title,type,prose-geography,sub,13
title,type,prose-oratory,main,13
bibl,lang,verse-epic,lat,12
biblScope,unit,prose-dialogue,volume,12
biblScope,unit,verse-epic,volume,12
div,lang,attic-tragedy,grc,12
div,lang,prose-dialogue,grc,12
div,subtype,prose-dialogue,book,12
div,subtype,prose-philosophy,commentary,12
div,type,attic-tragedy,edition,12
div,type,prose-dialogue,edition,12
idno,type,verse-epic,filename,12
label,lang,prose-philosophy,mul,12
language,ident,attic-tragedy,lat,12
language,ident,attic-tragedy,grc,12
language,ident,prose-dialogue,grc,12
language,ident,verse-epic,lat,12
milestone,ed,prose-philosophy,v2,12
milestone,unit,prose-philosophy,nextchapter,12
persName,role,verse-didactic,principal,12
persName,role,verse-epic,principal,12
quote,lang,prose-philosophy,grc,12
teiHeader,lang,attic-tragedy,eng,12
teiHeader,lang,verse-epic,eng,12
title,type,prose-oratory,sub,12
div,subtype,prose-philosophy,volume,11
head,lang,prose-philosophy,mul,11
hi,rend,prose-philosophy,sup,11
idno,type,prose-dialogue,filename,11
language,ident,prose-philosophy,greek,11
quote,rend,prose-historiography,blockquote,11
teiHeader,lang,prose-dialogue,eng,11
title,lang,prose-oratory,grc,11
title,lang,verse-epic,lat,11
author,lang,verse-epic,lat,10
author,lang,verse-lyric-monodic,lat,10
div,subtype,attic-tragedy,epode,10
div,type,prose-biography,translation,10
div,type,prose-philosophy,commentary,10
div,type,verse-epic,edition,10
foreign,lang,verse-epic,lat,10
note,place,verse-epic,end,10
note,type,prose-biography,foot,10
p,lang,prose-philosophy,deu,10
p,rend,prose-biography,align(center),10
quote,rend,prose-philosophy,"blockquote, indent",10
title,lang,prose-geography,grc,10
title,lang,prose-oratory,deu,10
w,type,prose-biography,ACONJ,10
div,lang,verse-epic,grc,9
div,subtype,prose-biography,book,9
div,subtype,prose-oratory,fragment,9
editor,lang,prose-geography,lat,9
foreign,lang,prose-oratory,abbr,9
head,lang,prose-philosophy,deu,9
label,lang,prose-philosophy,eng,9
language,ident,verse-epic,grc,9
milestone,unit,attic-comedy,Reitz_page,9
name,lang,prose-geography,lat,9
note,place,verse-epic,inline,9
persName,role,prose-geography,principal,9
pubPlace,lang,prose-philosophy,lat,9
sp,rend,verse-elegiac,align(indent),9
title,lang,attic-tragedy,grc,9
title,lang,verse-epigram,lat,9
w,type,prose-biography,IMOD,9
w,type,prose-biography,CPRET,9
ab,rend,verse-epic,center,8
div,subtype,verse-didactic,fragment,8
editor,role,prose-geography,translator,8
figure,place,prose-philosophy,margin,8
figure,place,prose-philosophy,inline,8
foreign,lang,verse-epigram,eng,8
gap,rend,prose-philosophy, ... ,8
gap,rend,verse-epic,. . .,8
head,rend,prose-oratory,center,8
hi,rend,prose-biography,superscript,8
hi,rend,prose-philosophy,right align,8
label,lang,prose-biography,eng,8
language,ident,prose-oratory,eng,8
milestone,type,prose-philosophy,print,8
milestone,unit,prose-historiography,altpage1,8
note,place,prose-biography,inline,8
note,place,prose-philosophy,left margin,8
p,lang,verse-iambic,lat,8
q,rend,verse-epic,merge,8
title,lang,prose-biography,grc,8
title,lang,prose-dialogue,grc,8
w,type,prose-biography,APREC,8
addName,lang,prose-geography,deu,7
biblScope,unit,prose-philosophy,part,7
div,subtype,attic-tragedy,lyric,7
div,subtype,prose-epistolary,book,7
div,subtype,prose-oratory,paragraph,7
figure,place,prose-philosophy,inspace,7
foreign,lang,prose-epistolary,lat,7
head,lang,prose-oratory,lat,7
