element,attribute,genre,value,count
quote,rend,prose-epistolary,blockquote,3
quote,rend,prose-philosophy,blockquote;merge,3
quote,rend,prose-philosophy,blcokquote,3
quote,rend,verse-epic,indent,3
sp,rend,prose-dialogue,merge; align(indent),3
title,lang,prose-biography,eng,3
title,lang,prose-geography,deu,3
title,lang,verse-didactic,deu,3
title,lang,verse-iambic,lat,3
title,type,prose-biography,sub,3
title,type,prose-geography,summary,3
title,type,prose-geography,alternative,3
title,type,prose-historiography,s,3
titleStmt,lang,verse-epic,lat,3
add,rend,prose-philosophy,merge,2
addName,lang,prose-geography,dut,2
addName,lang,prose-philosophy,deu,2
author,lang,prose-biography,mul,2
author,lang,prose-epistolary,mul,2
author,lang,prose-epistolary,eng,2
author,lang,prose-philosophy,mul,2
bibl,lang,prose-historiography,deu,2
biblScope,unit,prose-geography,issue,2
biblScope,unit,verse-didactic,vol,2
biblScope,unit,verse-epigram,volume,2
date,type,attic-tragedy,release,2
div,lang,prose-biography,lat,2
div,lang,prose-geography,eng,2
div,lang,prose-oratory,eng,2
div,lang,prose-philosophy,mul,2
div,lang,verse-iambic,grc,2
div,subtype,attic-tragedy,iambics,2
div,subtype,prose-biography,part,2
div,subtype,prose-oratory,book,2
div,subtype,prose-philosophy,quaestio,2
div,subtype,prose-philosophy,index,2
div,subtype,verse-didactic,work,2
div,subtype,verse-didactic,index,2
div,subtype,verse-lyric-pindaric,chapter,2
div,type,prose-historiography,translation,2
div,type,verse-epic,translation,2
div,type,verse-iambic,edition,2
editor,role,verse-didactic,translator,2
editor,role,verse-didactic,editor,2
figure,place,prose-philosophy,right margin,2
foreign,lang,verse-epic,eng,2
foreign,lang,verse-iambic,eng,2
gap,rend,prose-oratory,. . . . . . . . . . . . . . .,2
gap,rend,prose-oratory,. . . . . . . . . . . ,2
gap,rend,prose-oratory,. . . . . . . . . . ,2
gap,rend,prose-philosophy,........,2
gap,rend,prose-philosophy,.....,2
gap,rend,verse-epic,. . . .,2
head,lang,prose-philosophy,fre,2
head,lang,verse-epigram,lat,2
head,type,prose-geography,inscription,2
head,type,prose-oratory,subhead,2
hi,rend,attic-tragedy,superscript,2
idno,type,verse-iambic,filename,2
l,rend,prose-oratory,indent,2
label,lang,verse-epigram,lat,2
language,ident,prose-epistolary,deu,2
language,ident,prose-geography,fre,2
language,ident,prose-geography,dut,2
language,ident,prose-philosophy,xgrc,2
language,ident,prose-philosophy,French,2
language,ident,verse-epic,eng,2
language,ident,verse-epigram,eng,2
language,ident,verse-iambic,lat,2
language,ident,verse-iambic,grc,2
list,rend,prose-philosophy,numbered,2
list,rend,prose-philosophy,column,2
milestone,type,prose-geography,worktitle,2
milestone,unit,prose-geography,textpart,2
milestone,unit,prose-historiography,biblos,2
milestone,unit,verse-epic,para,2
monogr,lang,prose-philosophy,lat,2
name,lang,prose-geography,eng,2
name,lang,verse-didactic,lat,2
note,place,prose-philosophy,right margin,2
note,place,prose-philosophy,bottom,2
note,type,prose-biography,footnote1,2
note,type,prose-historiography,marginalC,2
note,type,prose-historiography,footnot2e,2
note,type,prose-oratory,margin,2
note,type,prose-philosophy,marpginal,2
note,type,prose-philosophy,marginapl,2
note,type,prose-philosophy,marginalp,2
note,type,prose-philosophy,marginale,2
note,type,prose-philosophy,marginai,2
note,type,prose-philosophy,footote,2
note,type,verse-epic,testimonia,2
note,type,verse-epigram,header,2
p,rend,prose-dialogue,indent,2
p,rend,prose-dialogue,align(indent),2
p,rend,prose-philosophy,align(right),2
persName,lang,prose-epistolary,lat,2
persName,lang,prose-oratory,lat,2
quote,type,prose-philosophy,blovkquote,2
quote,type,prose-philosophy,blockquote>,2
teiHeader,lang,verse-iambic,eng,2
teiHeader,lang,verse-lyric-pindaric,eng,2
text,lang,prose-philosophy,grc,2
title,lang,prose-philosophy,eng,2
title,lang,unknown,lat,2
title,rend,prose-philosophy,center,2
title,type,prose-historiography,sub,2
w,type,prose-biography,PDEM,2
w,type,prose-biography,EXIST,2
w,type,prose-biography,AOPT,2
abbr,type,prose-biography,num,1
addName,lang,verse-didactic,deu,1
author,lang,prose-geography,eng,1
author,lang,verse-didactic,mul,1
bibl,lang,prose-historiography,mul,1
bibl,lang,verse-epigram,mul,1
bibl,type,prose-philosophy,lat,1
biblScope,unit,attic-comedy,volume,1
biblScope,unit,attic-tragedy,volume,1
biblScope,unit,prose-epistolary,pp,1
biblScope,unit,prose-philosophy,page,1
biblScope,unit,prose-philosophy,appendix,1
biblScope,unit,unknown,volume,1
biblScope,unit,verse-didactic,pp,1
biblScope,unit,verse-elegiac,volume,1
biblScope,unit,verse-iambic,volume,1
corr,type,prose-philosophy,silent,1
date,type,attic-comedy,release,1
date,type,prose-geography,publication,1
date,type,verse-elegiac,release,1
date,type,verse-iambic,printing,1
date,type,verse-lyric-monodic,printing,1
div,lang,attic-comedy,grc,1
div,lang,prose-biography,cop,1
div,lang,prose-historiography,eng,1
div,lang,prose-oratory,lat,1
div,lang,prose-oratory,deu,1
div,lang,unknown,grc,1
div,lang,verse-didactic,mul,1
div,lang,verse-elegiac,grc,1
div,lang,verse-epic,lat,1
div,lang,verse-epic,eng,1
div,lang,verse-epic,deu,1
div,lang,verse-lyric-pindaric,mul,1
div,met,attic-tragedy,trochaic,1
div,subtype,attic-tragedy,proode,1
div,subtype,attic-tragedy,dramatispersonae,1
div,subtype,attic-tragedy,close,1
div,subtype,prose-dialogue,work,1
div,subtype,prose-epistolary,fragment,1
div,subtype,prose-geography,line,1
div,subtype,prose-geography,index,1
div,subtype,prose-philosophy,sigla,1
div,subtype,prose-philosophy,preface,1
div,subtype,unknown,paragraph,1
div,subtype,verse-didactic,notes,1
div,subtype,verse-didactic,heading,1
div,subtype,verse-didactic,appendix,1
div,subtype,verse-epic,book,1
div,subtype,verse-epigram,work,1
div,type,attic-comedy,edition,1
div,type,unknown,textpart,1
div,type,unknown,commentary,1
div,type,verse-didactic,translation,1
div,type,verse-elegiac,edition,1
editor,lang,prose-biography,lat,1
editor,lang,prose-historiography,fre,1
editor,lang,prose-philosophy,ita,1
editor,lang,verse-didactic,lat,1
editor,lang,verse-didactic,deu,1
editor,role,prose-epistolary,translator,1
editor,role,prose-historiography,editor,1
editor,role,prose-oratory,editor,1
emph,rend,verse-epic,bold,1
figure,place,prose-philosophy,in line,1
foreign,lang,prose-biography,fre,1
foreign,lang,prose-biography,abbr,1
foreign,lang,prose-historiography,grc,1
foreign,lang,prose-philosophy,lt,1
foreign,lang,prose-philosophy,lalt,1
foreign,lang,prose-philosophy,gcr,1
foreign,lang,prose-philosophy,dei,1
fw,type,prose-geography,subscription,1
gap,rend,prose-biography, . . . . . ,1
gap,rend,prose-oratory,. . . . . . . . . . .,1
gap,rend,prose-oratory,. . . . . . . . . .,1
gap,rend,prose-oratory,. . . . . . . . . ,1
gap,rend,prose-oratory,. . . . . . . . ,1
gap,rend,prose-oratory, . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,1
gap,rend,prose-oratory, . . . . ,1
gap,rend,prose-philosophy,....,1
gap,rend,prose-philosophy,* * *,1
gap,unit,prose-geography,character,1
gap,unit,verse-didactic,line,1
head,lang,verse-epic,lat,1
head,rend,prose-epistolary,indent,1
head,rend,prose-historiography,center,1
head,rend,prose-philosophy,cnter,1
head,type,prose-geography,                             title,1
hi,lang,prose-philosophy,lat,1
hi,rend,attic-tragedy,subscript,1
hi,rend,prose-historiography,superscript,1
hi,rend,prose-philosophy,itlic,1
idno,type,attic-comedy,filename,1
idno,type,unknown,filename,1
idno,type,verse-elegiac,filename,1
idno,type,verse-lyric-pindaric,filename,1
imprint,lang,prose-geography,lat,1
l,rend,attic-comedy,align(indent),1
l,rend,attic-tragedy,5,1
l,rend,prose-dialogue,align(indent),1
l,rend,prose-oratory,align(indent),1
l,rend,prose-philosophy,intent,1
l,rend,prose-philosophy,indent2,1
l,rend,prose-philosophy,cenyer,1
l,rend,prose-philosophy,align(indent),1
l,rend,verse-epigram,indent,1
label,lang,prose-epistolary,deu,1
label,lang,prose-historiography,lat,1
label,lang,verse-epigram,eng,1
label,rend,verse-epic,center,1
language,ident,attic-comedy,grc,1
language,ident,prose-biography,fre,1
language,ident,prose-biography,deu,1
language,ident,prose-biography,cop,1
language,ident,prose-dialogue,deu,1
language,ident,prose-epistolary,fre,1
language,ident,prose-historiography,fre,1
language,ident,prose-historiography,eng,1
language,ident,prose-philosophy,mul,1
language,ident,prose-philosophy,ita,1
language,ident,prose-philosophy,ger,1
language,ident,unknown,lat,1
language,ident,unknown,grc,1
language,ident,verse-elegiac,grc,1
language,ident,verse-iambic,eng,1
lb,rend,prose-biography,indent,1
lb,rend,prose-oratory,paragraph,1
lb,rend,prose-philosophy,align(indent),1
lg,rend,prose-philosophy,blockquote;figure;tree,1
lg,rend,prose-philosophy,align(middle);diagonal,1
list,rend,prose-philosophy,head,1
listBibl,lang,prose-philosophy,grc,1
milestone,unit,attic-tragedy,epode,1
milestone,unit,prose-biography,nextchapter,1
milestone,unit,verse-didactic,altpage1,1
monogr,lang,prose-philosophy,deu,1
name,lang,prose-historiography,lat,1
name,lang,prose-historiography,fre,1
name,lang,prose-historiography,eng,1
name,lang,prose-philosophy,ita,1
name,type,prose-biography,org,1
note,lang,prose-geography,lat,1
note,lang,prose-philosophy,grc,1
note,place,prose-biography,below,1
note,rend,prose-philosophy,hidden,1
note,type,prose-biography,marginalp,1
note,type,prose-biography,footnot1e,1
note,type,prose-biography,editorial,1
note,type,prose-epistolary,translation,1
note,type,prose-epistolary,marginalW,1
note,type,prose-geography,subscription,1
note,type,prose-historiography,marginapl,1
note,type,prose-historiography,marginalp,1
note,type,prose-historiography,foodnote,1
note,type,prose-historiography,fo6tnote,1
note,type,prose-oratory,Τfootnote,1
note,type,prose-oratory,footnte,1
note,type,prose-oratory,footnot1e,1
note,type,prose-oratory,foonote,1
note,type,prose-philosophy,marinalΑB,1
note,type,prose-philosophy,margpinal,1
note,type,prose-philosophy,marginaΣl,1
note,type,prose-philosophy,marginaΕl,1
note,type,prose-philosophy,marginalXXXIVv,1
note,type,prose-philosophy,marginalHdt.,1
note,type,prose-philosophy,marginalE,1
note,type,prose-philosophy,marginalB,1
note,type,prose-philosophy,marginal919a,1
note,type,prose-philosophy,marginal77v,1
note,type,prose-philosophy,marginael,1
note,type,verse-epic,testimonium,1
note,type,verse-epic,margial,1
note,type,verse-epic,homeric_verses,1
p,lang,prose-historiography,lat,1
p,lang,prose-philosophy,mul,1
p,lang,prose-philosophy,lt,1
p,lang,prose-philosophy,latt,1
p,lang,prose-philosophy,fre,1
p,lang,prose-philosophy,eng,1
p,lang,verse-epic,lat,1
p,lang,verse-iambic,eng,1
p,rend,prose-dialogue,blockquote,1
p,rend,prose-oratory,continuous,1
p,rend,prose-oratory,center; bold,1
p,rend,prose-philosophy,in,1
p,rend,prose-philosophy,ident,1
p,rend,prose-philosophy,align left),1
p,rend,verse-epigram,center,1
pubPlace,lang,prose-geography,lat,1
publisher,lang,prose-dialogue,deu,1
publisher,lang,prose-geography,lat,1
q,lang,verse-epic,dseu,1
q,rend,prose-historiography,single,1
q,rend,prose-oratory,spaced,1
q,rend,prose-oratory,merge,1
q,rend,prose-philosophy,single; merge,1
q,rend,prose-philosophy,double; merge,1
quote,lang,prose-oratory,lat,1
quote,lang,verse-epic,lat,1
quote,lang,verse-epigram,grc,1
quote,rend,prose-biography,indent,1
quote,rend,prose-biography,blockqupte,1
quote,rend,prose-dialogue,blockquote; align(indent),1
quote,rend,prose-oratory,merge,1
quote,rend,prose-oratory,blockquote; center,1
quote,rend,prose-philosophy,merge,1
quote,rend,prose-philosophy,bloclkquote,1
quote,rend,prose-philosophy,blockquote;indent,1
quote,rend,prose-philosophy,blockquote; small,1
quote,rend,prose-philosophy,blockquote; indent,1
quote,rend,prose-philosophy,blockquote; align(indent),1
quote,rend,verse-elegiac,blcokquote,1
quote,type,prose-epistolary,blockquote,1
quote,type,prose-philosophy,bloxkquote,1
quote,type,verse-epigram,blockquote,1
ref,lang,prose-biography,eng,1
ref,lang,prose-dialogue,eng,1
ref,lang,prose-philosophy,lt,1
ref,lang,prose-philosophy,grc,1
ref,type,prose-biography,license,1
ref,type,prose-philosophy,alternate,1
said,rend,prose-philosophy,merge,1
seg,rend,prose-philosophy,superscript,1
sp,rend,prose-oratory,align(indent); merge,1
teiHeader,lang,attic-comedy,eng,1
teiHeader,lang,prose-philosophy,lat,1
teiHeader,lang,unknown,eng,1
teiHeader,lang,verse-elegiac,eng,1
teiHeader,lang,verse-lyric-pindaric,lat,1
text,lang,prose-biography,grc,1
title,lang,attic-comedy,lat,1
title,lang,attic-comedy,grc,1
title,lang,prose-biography,mul,1
title,lang,prose-biography,deu,1
title,lang,prose-dialogue,mul,1
title,lang,prose-dialogue,fre,1
title,lang,prose-epistolary,mul,1
title,lang,prose-epistolary,fre,1
title,lang,prose-geography,fre,1
title,lang,prose-geography,eng,1
title,lang,verse-elegiac,lat,1
title,lang,verse-elegiac,grc,1
title,lang,verse-lyric-monodic,lat,1
title,lang,verse-lyric-pindaric,mul,1
title,type,prose-biography,subtitle,1
title,type,prose-biography,document,1
title,type,prose-epistolary,sub,1
title,type,prose-epistolary,main,1
title,type,prose-geography,section,1
title,type,prose-geography,desc,1
title,type,prose-geography,argument,1
title,type,prose-geography,alt,1
title,type,prose-historiography,m,1
title,type,verse-didactic,sub,1
titleStmt,lang,prose-historiography,lat,1
titleStmt,lang,prose-philosophy,lat,1
titleStmt,lang,verse-didactic,lat,1
