urn,path,author,title,suggested_genre,confidence,family,proposed_subclass,structure_signature,match,needs_review,recommended_genre,notes
urn:cts:greekLit:tlg0059.tlg009.perseus-eng2,tlg0059/tlg009/tlg0059.tlg009.perseus-eng2.xml,Plato,Parmenides,prose-dialogue,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg009.perseus-grc2,tlg0059/tlg009/tlg0059.tlg009.perseus-grc2.xml,Plato,Parmenides,prose-dialogue,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg010.perseus-eng2,tlg0059/tlg010/tlg0059.tlg010.perseus-eng2.xml,Plato,Philebus,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg010.perseus-grc2,tlg0059/tlg010/tlg0059.tlg010.perseus-grc2.xml,Plato,Philebus,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg011.perseus-eng2,tlg0059/tlg011/tlg0059.tlg011.perseus-eng2.xml,Plato,Symposium,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg011.perseus-grc2,tlg0059/tlg011/tlg0059.tlg011.perseus-grc2.xml,Plato,Symposium,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg012.perseus-eng2,tlg0059/tlg012/tlg0059.tlg012.perseus-eng2.xml,Plato,Phaedrus,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg012.perseus-grc2,tlg0059/tlg012/tlg0059.tlg012.perseus-grc2.xml,Plato,Phaedrus,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg013.perseus-eng2,tlg0059/tlg013/tlg0059.tlg013.perseus-eng2.xml,Plato,Alcibiades 1,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg013.perseus-grc2,tlg0059/tlg013/tlg0059.tlg013.perseus-grc2.xml,Plato,Alcibiades 1,prose-dialogue,high,prose,prose-section,section,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg014.perseus-eng2,tlg0059/tlg014/tlg0059.tlg014.perseus-eng2.xml,Plato,Alcibiades 2,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg014.perseus-grc2,tlg0059/tlg014/tlg0059.tlg014.perseus-grc2.xml,Plato,Alcibiades 2,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg015.perseus-eng2,tlg0059/tlg015/tlg0059.tlg015.perseus-eng2.xml,Plato,Hipparchus,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg015.perseus-grc2,tlg0059/tlg015/tlg0059.tlg015.perseus-grc2.xml,Plato,Hipparchus,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg016.perseus-eng2,tlg0059/tlg016/tlg0059.tlg016.perseus-eng2.xml,Plato,Lovers,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg016.perseus-grc2,tlg0059/tlg016/tlg0059.tlg016.perseus-grc2.xml,Plato,Lovers,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg017.perseus-eng2,tlg0059/tlg017/tlg0059.tlg017.perseus-eng2.xml,Plato,Theages,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg017.perseus-grc2,tlg0059/tlg017/tlg0059.tlg017.perseus-grc2.xml,Plato,Theages,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
urn:cts:greekLit:tlg0059.tlg018.perseus-eng2,tlg0059/tlg018/tlg0059.tlg018.perseus-eng2.xml,Plato,Charmides,prose-dialogue,high,prose,prose-section,section+l,ready,false,prose-section,
